V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,path,Q99,DEEPTIME12,Mathbyhand,Nomath,Calculator,Spreadsheet,Mathinhead,Otherapp,totalhelp,Q94_1,Q94_3,Q94_4,Q94_5,Q94_6,Q96_1,Q98_1,bag,Q44,lowgal,Q45,avail,lossav_1,lossav_2,lossav_3,lossav_4,lossav_5,lossav_6,lossav_7,halfway,flugain,fluloss,discmo_1,discmo_2,discmo_3,discmo_4,discmo_5,discmo_6,discmo_7,discmo_8,discmo_9,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q46_9,discyr_1,discyr_2,discyr_3,discyr_4,discyr_5,discyr_6,discyr_7,discyr_8,discyr_9,discdec_1,discdec_2,discdec_3,discdec_4,discdec_5,discdec_6,discdec_7,discdec_8,discdec_9,hidiscmo_1,hidiscmo_2,hidiscmo_3,hidiscmo_4,hidiscmo_5,hidiscmo_6,hidiscmo_7,hidiscmo_8,hidiscmo_9,hidiscyr_1,hidiscyr_2,hidiscyr_3,hidiscyr_4,hidiscyr_5,hidiscyr_6,hidiscyr_7,hidiscyr_8,hidiscyr_9,hidiscdec_1,hidiscdec_2,hidiscdec_3,hidiscdec_4,hidiscdec_5,hidiscdec_6,hidiscdec_7,hidiscdec_8,hidiscdec_9,lastpage,discbonus,discfee,pd_offer,pd_accept,ClassPerf,Q100,Q38,Q39,Q42,Q102,Q104,Q106_3,Q40,LocationLatitude,LocationLongitude,LocationAccuracy,StartDate,EndDate,IPAddress,betaunshrunken,deltaunshrunken,,beta_unskew,beta,dailyrate,annualfactor,id_prevmerge,expname.1_prevmerge,ip.1_prevmerge,boxesopened_prevmerge,numopened_prevmerge,id2_prevmerge,searchtime_prevmerge,trial_prevmerge,sqrtboxopen_prevmerge,correct_prevmerge,logsearchtime_prevmerge,sqrtsearchtime_prevmerge,searchtime_withoutliers_prevmerge,ipaddress,serial,new_beta,new_r,new_delta
R_2Y4Cv1AtgWJmDhW,Default Response Set,Anonymous,,,72.227.168.213,0,1/28/2019 13:56,1/28/2019 14:17,1,A,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":0,""answer"":1,""responseTime"":19.453},{""id"":1,""beta"":0.6703449,""discountRate"":0.05,""choice"":1,""answer"":2,""responseTime"":8.595},{""id"":262145,""beta"":1.5467129999999998,""discountRate"":0.04999005,""choice"":1,""answer"":2,""responseTime"":16.72},{""id"":393217,""beta"":2,""discountRate"":0.03338353,""choice"":0,""answer"":1,""responseTime"":3.817},{""id"":393218,""beta"":0.7481733,""discountRate"":0.01357616,""choice"":0,""answer"":1,""responseTime"":17.062},{""id"":393219,""beta"":0.8407138000000001,""discountRate"":0.02041512,""choice"":0,""answer"":1,""responseTime"":2.998},{""id"":393220,""beta"":0.7818267,""discountRate"":0.01952148,""choice"":0,""answer"":1,""responseTime"":15.734},{""id"":393221,""beta"":0.8442434,""discountRate"":0.0261337,""choice"":0,""answer"":1,""responseTime"":2.835},{""id"":393222,""beta"":0.8103330000000001,""discountRate"":0.02569052,""choice"":0,""answer"":1,""responseTime"":7.735},{""id"":393223,""beta"":0.7025722999999999,""discountRate"":0.0270141,""choice"":0,""answer"":1,""responseTime"":4.351},{""id"":393224,""beta"":0.5628134,""discountRate"":0.023150680000000003,""choice"":0,""answer"":1,""responseTime"":2.185},{""id"":393225,""beta"":0.4687438,""discountRate"":0.020930590000000002,""choice"":0,""answer"":1,""responseTime"":2.903},{""id"":393226,""beta"":0.39542279999999996,""discountRate"":0.01940198}]",1,,,,1,,0,0,22,19,38,21,4,4,3500,,1399.5,,1.2,1,1,1,1,1,0,0,1,2,,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1500,,500,1,6,1,710,3.5,2,1,5,8,1,40.71850586,-74.00250244,-1,"Monday, January 28, 2019","Monday, January 28, 2019",72.227.168.213,0.3954228,0.01940198,0.266526035,0.516261596,0.733473965,0.007895411,0.313104043,2280,ChoiceCC_o4,72.227.168.213,168,168,2280,342.219,1,12.9614814,0,2.534304118,18.49916214,342.219,72.227.168.213,70,0.881659792,0.004233542,0.492745894
R_31LubBMSttR7tsS,Default Response Set,Anonymous,,,72.227.186.249,0,1/28/2019 8:09,1/28/2019 8:15,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":11.485},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":2.911},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":3.674},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":5.379},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":2.808},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":2.455},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":3.06},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":0,""answer"":1,""responseTime"":3.321},{""id"":745475,""beta"":0.9934161,""discountRate"":0.003473677,""choice"":1,""answer"":2,""responseTime"":1.694},{""id"":747523,""beta"":1.02146,""discountRate"":0.0037045990000000003,""choice"":1,""answer"":2,""responseTime"":2.769},{""id"":748547,""beta"":1.04018,""discountRate"":0.0038568689999999997,""choice"":1,""answer"":2,""responseTime"":1.965},{""id"":749059,""beta"":1.054044,""discountRate"":0.003968287,""choice"":0,""answer"":1,""responseTime"":2.891},{""id"":749060,""beta"":1.056752,""discountRate"":0.004782003}]",1,,,,,,0,0,13,16,39,32,6,6,,1399.5,,1399.5,1,1,1,1,1,0,0,0,1,,2,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,,35,450,500,6,1,690,3.8,2,1,5,8,1,40.7651062,-73.96379852,-1,"Monday, January 28, 2019","Monday, January 28, 2019",72.227.186.249,1.056752,0.004782003,0.035402136,0.188154554,0.964597864,0.004097676,0.250256742,2200,ChoiceCC,72.227.186.249,37,37,2200,44.193,1,6.08276253,0,1.645353484,6.647781585,44.193,72.227.186.249,71,0.962159942,0.003903501,0.247806263
R_1r6RmbVLhNLEalF,Default Response Set,Anonymous,,,72.227.238.49,0,1/27/2019 10:05,1/27/2019 10:15,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":25.722},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":4.141},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":7.2},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":0,""answer"":1,""responseTime"":7.378},{""id"":655362,""beta"":1.963486,""discountRate"":0.01178107,""choice"":0,""answer"":1,""responseTime"":3.473},{""id"":655363,""beta"":0.9370147,""discountRate"":0.008365282,""choice"":1,""answer"":2,""responseTime"":4.372},{""id"":671747,""beta"":0.9358455,""discountRate"":0.00652696,""choice"":0,""answer"":1,""responseTime"":2.959},{""id"":671748,""beta"":0.8794175,""discountRate"":0.006219258,""choice"":1,""answer"":2,""responseTime"":4.181},{""id"":675844,""beta"":0.916449,""discountRate"":0.0066046939999999995,""choice"":1,""answer"":2,""responseTime"":2.879},{""id"":677892,""beta"":0.9099705,""discountRate"":0.004937588,""choice"":1,""answer"":2,""responseTime"":3.026},{""id"":678916,""beta"":0.9320589,""discountRate"":0.005170630999999999,""choice"":1,""answer"":2,""responseTime"":3.455},{""id"":679428,""beta"":0.9521541,""discountRate"":0.005279819999999999,""choice"":1,""answer"":2,""responseTime"":3.367},{""id"":679684,""beta"":0.9678384,""discountRate"":0.005365984}]",,,,,1,,0,0,14,40,14,32,4,4,,245.5,,2249.5,0.5,1,1,1,1,1,0,0,1,,2,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,,200,400,100,5,1,760,3.93,1,1,5,8,1,40.71569824,-74,-1,"Sunday, January 27, 2019","Sunday, January 27, 2019",72.227.238.49,0.9678384,0.005365984,0.039340669,0.198344823,0.960659331,0.003812055,0.353294349,2133,ChoiceCC_o4,72.227.238.49,133,133,2133,151.721,1,11.53256259,0,2.181045696,12.31750786,151.721,72.227.238.49,72,0.939011241,0.003431994,0.336622819
R_1jxnkn6tShpfFUn,Default Response Set,Anonymous,,,72.229.48.242,0,1/27/2019 15:13,1/27/2019 15:26,1,A,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":10.344},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":8.457},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":6.716},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":11.13},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":11.664},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":7.13},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":6.957},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":0,""answer"":1,""responseTime"":5.818},{""id"":745475,""beta"":0.9934161,""discountRate"":0.003473677,""choice"":1,""answer"":2,""responseTime"":6.427},{""id"":747523,""beta"":1.02146,""discountRate"":0.0037045990000000003,""choice"":1,""answer"":2,""responseTime"":5.122},{""id"":748547,""beta"":1.04018,""discountRate"":0.0038568689999999997,""choice"":1,""answer"":2,""responseTime"":6.214},{""id"":749059,""beta"":1.054044,""discountRate"":0.003968287,""choice"":1,""answer"":2,""responseTime"":12.658},{""id"":749315,""beta"":1.050115,""discountRate"":0.003411734}]",1,,,,1,,0,0,23,21,49,7,8,8,1049.5,,799.5,,4,1,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,350,,500,0,7,1,660,3.88,2,1,5,8,1,40.79750061,-73.96829987,-1,"Sunday, January 27, 2019","Sunday, January 27, 2019",72.229.48.242,1.050115,0.003411734,0.037103275,0.192622104,0.962896725,0.002645171,0.414638826,2148,ChoiceCC_o3,72.229.48.242,60,60,2148,60.579,1,7.745966692,0,1.7823221,7.783251249,60.579,72.229.48.242,73,0.94236456,0.002481247,0.452678983
R_2YVdyGlYNOQHQbr,Default Response Set,Anonymous,,,72.69.177.204,0,1/28/2019 21:45,1/28/2019 21:52,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":4.456},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":2.94},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":2.795},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":1.915},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":3.459},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":2.585},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":2.967},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":1,""answer"":2,""responseTime"":3.178},{""id"":749570,""beta"":0.9755389,""discountRate"":0.0012875640000000002,""choice"":0,""answer"":1,""responseTime"":2.731},{""id"":749571,""beta"":0.9822664,""discountRate"":0.001837015,""choice"":1,""answer"":2,""responseTime"":3.03},{""id"":750595,""beta"":1.008024,""discountRate"":0.002114382,""choice"":0,""answer"":1,""responseTime"":3.387},{""id"":750596,""beta"":1.011687,""discountRate"":0.002422285,""choice"":1,""answer"":2,""responseTime"":2.277},{""id"":750852,""beta"":1.027059,""discountRate"":0.002599575}]",1,,,,,,0,0,25,25,25,25,9,9,,3500,,3250,0.8,1,1,1,0,0,0,0,1,,2,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,,50,650,300,2,1,740,4,1,1,5,8,1,40.79750061,-73.96829987,-1,"Monday, January 28, 2019","Monday, January 28, 2019",72.69.177.204,1.027059,0.002599575,0.041018154,0.202529389,0.958981846,0.000987886,0.72812951,2396,ChoiceCC,72.69.177.204,27,27,2396,24.943,1,5.196152423,0,1.396948687,4.994296747,24.943,72.69.177.204,74,0.960947688,0.001525217,0.588800138
R_2PiXRmPXkACGdkL,Default Response Set,Anonymous,,,72.80.157.237,0,1/28/2019 9:28,1/28/2019 9:44,1,A,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":5.07},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":4.898},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":4.634},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":6.55},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":4.331},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":5.951},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":4.538},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":0,""answer"":1,""responseTime"":5.258},{""id"":745475,""beta"":0.9934161,""discountRate"":0.003473677,""choice"":1,""answer"":2,""responseTime"":3.095},{""id"":747523,""beta"":1.02146,""discountRate"":0.0037045990000000003,""choice"":1,""answer"":2,""responseTime"":2.787},{""id"":748547,""beta"":1.04018,""discountRate"":0.0038568689999999997,""choice"":1,""answer"":2,""responseTime"":3.574},{""id"":749059,""beta"":1.054044,""discountRate"":0.003968287,""choice"":1,""answer"":2,""responseTime"":4.769},{""id"":749315,""beta"":1.050115,""discountRate"":0.003411734}]",1,,,,1,,0,0,25,25,25,25,6,6,3500,,1049.5,,4,1,1,0,0,0,0,0,1,1,,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,,500,500,6,1,740,3,2,1,5,8,1,40.77639771,-73.98269653,-1,"Monday, January 28, 2019","Monday, January 28, 2019",72.80.157.237,1.050115,0.003411734,0.036905416,0.192107823,0.963094584,0.002664144,0.411012749,2227,ChoiceCC,72.80.157.237,117,117,2227,118.544,1,10.81665383,0,2.073879577,10.88779133,118.544,72.80.157.237,75,0.955445587,0.002497016,0.417482035
R_31GVqAZzq3sCKt3,Default Response Set,Anonymous,,,73.12.121.5,0,1/22/2019 12:51,1/22/2019 13:05,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":0,""answer"":1,""responseTime"":61.73},{""id"":1,""beta"":0.6703449,""discountRate"":0.05,""choice"":1,""answer"":2,""responseTime"":3.691},{""id"":262145,""beta"":1.5467129999999998,""discountRate"":0.04999005,""choice"":1,""answer"":2,""responseTime"":4.096},{""id"":393217,""beta"":2,""discountRate"":0.03338353,""choice"":0,""answer"":1,""responseTime"":3.906},{""id"":393218,""beta"":0.7481733,""discountRate"":0.01357616,""choice"":1,""answer"":2,""responseTime"":5.6},{""id"":425986,""beta"":0.6607886000000001,""discountRate"":0.008532645,""choice"":1,""answer"":2,""responseTime"":7.112},{""id"":442370,""beta"":0.7274474000000001,""discountRate"":0.009312189,""choice"":0,""answer"":1,""responseTime"":5.12},{""id"":442371,""beta"":0.7578363,""discountRate"":0.010680160000000001,""choice"":0,""answer"":1,""responseTime"":3.077},{""id"":442372,""beta"":0.7241224,""discountRate"":0.01038231,""choice"":0,""answer"":1,""responseTime"":3.861},{""id"":442373,""beta"":0.7248377,""discountRate"":0.012070270000000001,""choice"":0,""answer"":1,""responseTime"":5.333},{""id"":442374,""beta"":0.7487151,""discountRate"":0.01358201,""choice"":0,""answer"":1,""responseTime"":4.408},{""id"":442375,""beta"":0.7405866999999999,""discountRate"":0.0157412,""choice"":1,""answer"":2,""responseTime"":7.091},{""id"":442631,""beta"":0.7219057000000001,""discountRate"":0.01404915}]",,,,,1,,0,0,16,16,52,16,5,4,,599.5,,2249.5,3,1,1,1,0,0,0,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,200,400,400,6,1,680,3.8,2,1,4,4,1,37.38250732,-79.2181015,-1,"Tuesday, January 22, 2019","Tuesday, January 22, 2019",73.12.121.5,0.7219057,0.01404915,0.232386743,0.482065082,0.767613257,0.013353795,0.023854116,1971,ChoiceCC,73.12.121.5,93,93,1971,76.705,1,9.643650761,0,1.884823674,8.758139072,76.705,73.12.121.5,76,0.883123452,0.009064351,0.243941099
R_32QFdBJFGe5mYa7,Default Response Set,Anonymous,,,74.101.137.48,0,1/22/2019 7:37,1/22/2019 7:48,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":6.43},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":5.087},{""id"":786432,""beta"":1.582166,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":6.743},{""id"":786433,""beta"":0.9940593,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":5.679},{""id"":786434,""beta"":0.9393092,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":2.545},{""id"":819202,""beta"":1.009677,""discountRate"":0.00020951219999999998,""choice"":0,""answer"":1,""responseTime"":4.858},{""id"":819203,""beta"":0.9603913000000001,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.012},{""id"":819204,""beta"":0.9377776,""discountRate"":0.00001664978,""choice"":0,""answer"":1,""responseTime"":4},{""id"":819205,""beta"":0.9175747,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.163},{""id"":819206,""beta"":0.9054958000000001,""discountRate"":0.00004926300999999999,""choice"":0,""answer"":1,""responseTime"":2.604},{""id"":819207,""beta"":0.8886504,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":4.217},{""id"":819719,""beta"":0.9196878999999999,""discountRate"":0.00035635370000000003,""choice"":0,""answer"":1,""responseTime"":6.45},{""id"":819720,""beta"":0.9291389999999999,""discountRate"":0.0007714603}]",1,,,,,,0,0,19,9,51,21,5,5,,74.5,,3250,1.2,1,1,1,1,1,0,0,1,,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,,20,300,300,2,1,760,3.5,2,1,5,8,1,40.79750061,-73.96829987,-1,"Tuesday, January 22, 2019","Tuesday, January 22, 2019",74.101.137.48,0.929139,0.00077146,0.045582546,0.213500694,0.954417454,0.001634785,0.671894807,1935,ChoiceCC_o2,74.101.137.48,28,28,1935,41.641,1,5.291502622,0,1.61952115,6.452983806,41.641,74.101.137.48,77,0.960422457,0.002365642,0.511947854
R_1g8aMQf9rHXgQqE,Default Response Set,Anonymous,,,74.108.223.158,0,1/28/2019 10:28,1/28/2019 10:48,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":10.845},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":7.509},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":7.355},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":12.795},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":2.871},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":4.036},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":0,""answer"":1,""responseTime"":2.564},{""id"":737283,""beta"":0.8234904,""discountRate"":0.0003973051,""choice"":1,""answer"":2,""responseTime"":4.99},{""id"":741379,""beta"":0.8369841,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":2.356},{""id"":741380,""beta"":0.8274606,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":1.884},{""id"":741381,""beta"":0.7951069000000001,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":5.961},{""id"":741893,""beta"":0.8252727000000001,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.014},{""id"":741894,""beta"":0.8215483,""discountRate"":0.00004945043}]",,,,,,,0,0,0,0,13,87,10,10,,599.5,,2749.5,1,1,1,1,1,1,1,0,1,,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,,50,500,500,5,1,730,3.3,2,1,5,8,1,40.76829529,-73.98020172,-1,"Monday, January 28, 2019","Monday, January 28, 2019",74.108.223.158,0.8215483,4.95E-05,0.113705778,0.337202874,0.886294222,0.001174536,0.719564537,2244,ChoiceCC_o2,74.108.223.158,89,89,2244,78.761,1,9.433981132,0,1.896311222,8.874739433,78.761,74.108.223.158,78,0.871801685,0.000799941,0.768260482
R_2trHrwAO2N5gDhf,Default Response Set,Anonymous,,,74.64.111.227,0,1/27/2019 17:00,1/27/2019 17:14,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":8.497},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":4.915},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":8.785},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":14.799},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":27.769},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":8.585},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":4.423},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":1,""answer"":2,""responseTime"":14.472},{""id"":749570,""beta"":0.9755389,""discountRate"":0.0012875640000000002,""choice"":0,""answer"":1,""responseTime"":5.422},{""id"":749571,""beta"":0.9822664,""discountRate"":0.001837015,""choice"":1,""answer"":2,""responseTime"":3.235},{""id"":750595,""beta"":1.008024,""discountRate"":0.002114382,""choice"":0,""answer"":1,""responseTime"":4.33},{""id"":750596,""beta"":1.011687,""discountRate"":0.002422285,""choice"":1,""answer"":2,""responseTime"":4.361},{""id"":750852,""beta"":1.027059,""discountRate"":0.002599575}]",,,,,1,,0,0,25,25,25,25,6,6,,2249.5,,1799.5,1,1,1,1,1,1,0,0,1,,2,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,,50,400,200,5,1,780,3.5,1,1,5,8,1,40.78640747,-73.97640228,-1,"Sunday, January 27, 2019","Sunday, January 27, 2019",74.64.111.227,1.027059,0.002599575,0.041486285,0.203681822,0.958513715,0.000921542,0.743974612,2166,ChoiceCC_o2,74.64.111.227,230,230,2166,365.779,1,15.16575089,0,2.563218768,19.12534967,365.779,74.64.111.227,79,0.966406399,0.001002833,0.713047564
R_9TAqFQ0SDosaM1P,Default Response Set,Anonymous,,,74.71.14.72,0,1/22/2019 10:01,1/22/2019 10:15,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":3.805},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":9.935},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":2.402},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":7.048},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":6.173},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":8.144},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":2.605},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":0,""answer"":1,""responseTime"":11.959},{""id"":745475,""beta"":0.9934161,""discountRate"":0.003473677,""choice"":1,""answer"":2,""responseTime"":4.967},{""id"":747523,""beta"":1.02146,""discountRate"":0.0037045990000000003,""choice"":1,""answer"":2,""responseTime"":2.409},{""id"":748547,""beta"":1.04018,""discountRate"":0.0038568689999999997,""choice"":1,""answer"":2,""responseTime"":2.807},{""id"":749059,""beta"":1.054044,""discountRate"":0.003968287,""choice"":0,""answer"":1,""responseTime"":2.401},{""id"":749060,""beta"":1.056752,""discountRate"":0.004782003}]",,,,,1,,0,0,26,35,29,10,8,8,,245.5,,2749.5,0.75,1,1,1,1,1,0,0,1,,2,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,,30,500,500,6,1,I didn't take the GMAT,3.9,1,1,5,8,1,40.79750061,-73.96829987,-1,"Tuesday, January 22, 2019","Tuesday, January 22, 2019",74.71.14.72,1.056752,0.004782003,0.031232168,0.176726251,0.968767832,0.004218677,0.23362456,1957,ChoiceCC,74.71.14.72,187,187,1957,201.237,1,13.67479433,0,2.303707834,14.18580276,201.237,74.71.14.72,80,0.954912037,0.004467543,0.207218938
